,index,Birth Country
0,United States of America,276
1,United Kingdom,88
2,Germany,70
3,France,53
4,Sweden,30
5,Japan,29
6,Russia,20
7,Netherlands,19
8,Italy,18
9,Canada,18
10,Switzerland,17
11,Austria,15
12,Norway,13
13,China,12
14,Denmark,11
15,Australia,11
16,Germany (Poland),10
17,Scotland,9
18,Belgium,9
19,South Africa,9
20,Prussia (Germany),7
21,Spain,7
22,India,7
23,Poland,6
24,Prussia (Poland),6
25,Egypt,6
26,Hungary,6
27,Northern Ireland,5
28,Romania,5
29,British Mandate of Palestine (Israel),5
30,West Germany (Germany),5
31,Russian Empire (Poland),5
32,Ireland,5
33,Austria-Hungary (Czech Republic),4
34,Union of Soviet Socialist Republics (Russia),4
35,Argentina,4
36,Germany (France),3
37,Germany (Russia),3
38,Russian Empire (Finland),3
39,Mexico,3
40,New Zealand,3
41,Austria-Hungary (Hungary),3
42,Portugal,3
43,India (Pakistan),3
44,French Algeria (Algeria),3
45,Korea (South Korea),2
46,Russian Empire (Ukraine),2
47,Russian Empire (Russia),2
48,Turkey,2
49,Colombia,2
50,Schleswig (Germany),2
51,Chile,2
52,Austrian Empire (Austria),2
53,East Timor,2
54,Luxembourg,2
55,Russian Empire (Belarus),2
56,Guatemala,2
57,Morocco,2
58,Finland,2
59,Austria-Hungary (Austria),2
60,Liberia,2
61,Union of Soviet Socialist Republics (Belarus),1
62,Trinidad,1
63,Bavaria (Germany),1
64,Free City of Danzig (Poland),1
65,Russian Empire (Lithuania),1
66,Czechoslovakia (Czech Republic),1
67,Madagascar,1
68,German-occupied Poland (Poland),1
69,Brazil,1
70,Peru,1
71,Prussia (Russia),1
72,Venezuela,1
73,Austrian Empire (Italy),1
74,Austrian Empire (Czech Republic),1
75,Vietnam,1
76,Austria-Hungary (Croatia),1
77,Mecklenburg (Germany),1
78,Iran,1
79,East Friesland (Germany),1
80,Austria-Hungary (Poland),1
81,Tibet (People's Republic of China),1
82,Poland (Belarus),1
83,Ukraine,1
84,Hesse-Kassel (Germany),1
85,Yemen,1
86,Burma (Myanmar),1
87,British Protectorate of Palestine (Israel),1
88,Kenya,1
89,Bulgaria,1
90,Crete (Greece),1
91,Russian Empire (Latvia),1
92,Costa Rica,1
93,Saint Lucia,1
94,Ottoman Empire (Republic of Macedonia),1
95,Persia (Iran),1
96,Poland (Ukraine),1
97,Pakistan,1
98,Austria-Hungary (Bosnia and Herzegovina),1
99,Lithuania,1
100,Poland (Lithuania),1
101,Ottoman Empire (Turkey),1
102,Guadeloupe Island,1
103,"Java, Dutch East Indies (Indonesia)",1
104,British India (India),1
105,Southern Rhodesia (Zimbabwe),1
106,Austria-Hungary (Ukraine),1
107,Hungary (Slovakia),1
108,British India (Bangladesh),1
109,Iceland,1
110,Tuscany (Italy),1
111,Cyprus,1
112,Russian Empire (Azerbaijan),1
113,Taiwan,1
114,Austria-Hungary (Slovenia),1
115,Gold Coast (Ghana),1
116,Faroe Islands (Denmark),1
117,British West Indies (Saint Lucia),1
118,Bosnia (Bosnia and Herzegovina),1
119,W&uuml;rttemberg (Germany),1
120,Nigeria,1
