,Organization_Country,Chemistry,Economics,Medicine,Peace,Physics,longitude,latitude,Total
0,"Alsace (then Germany, now France)",0,0,0,0,1,2.0,47.0,1
1,Argentina,1,0,1,0,0,-65.241974,-35.112487,2
2,Australia,0,0,5,0,1,134.755,-24.776109,6
3,Austria,1,0,4,0,1,13.199959,47.200034,6
4,Belgium,1,0,4,0,1,4.66696,50.640735,6
5,Canada,3.0,0.0,2.0,0.0,2.0,-107.991707,61.066692,7
6,China,0.0,0.0,1.0,0.0,1.0,104.999927,35.000074,2
7,Czechoslovakia,1.0,0.0,0.0,0.0,0.0,-100.445882,39.78373,1
8,Denmark,1.0,1.0,4.0,0.0,3.0,10.333328,55.670249,9
9,Federal Republic of Germany,11.0,1.0,7.0,0.0,7.0,10.0,51.0,26
10,Finland,1.0,0.0,0.0,0.0,0.0,25.920916,63.246778000000006,1
11,France,11.0,2.0,10.0,1.0,16.0,1.888334,46.603354,40
12,Germany,27.0,0.0,10.0,0.0,14.0,10.423447,51.08342,51
13,Hungary,0.0,0.0,1.0,0.0,0.0,19.506094,47.181759,1
14,India,0.0,0.0,0.0,0.0,1.0,78.667743,22.351115,1
15,Ireland,0.0,0.0,0.0,0.0,1.0,-7.97946,52.865196,1
16,Israel,4.0,1.0,0.0,0.0,0.0,35.00152,30.876027,5
17,Italy,1.0,0.0,3.0,0.0,2.0,12.674297,42.638426,6
18,Japan,5.0,0.0,3.0,0.0,10.0,139.239418,36.574844,18
19,Netherlands,1.0,1.0,2.0,0.0,7.0,5.534607,52.237989,11
20,Norway,1.0,2.0,2.0,0.0,0.0,9.099972,60.500021,5
21,Portugal,0.0,0.0,2.0,0.0,0.0,-8.560792,39.430125,2
22,Russia,0.0,0.0,1.0,0.0,2.0,97.745306,64.686314,3
23,Spain,0.0,0.0,1.0,0.0,0.0,-4.003104,40.002803,1
24,Sweden,5.0,1.0,7.0,0.0,4.0,14.520858,59.674971,17
25,Switzerland,6.0,0.0,8.0,0.0,8.0,8.231974000000001,46.798562,22
26,Union of Soviet Socialist Republics,1.0,1.0,0.0,0.0,9.0,98.0,65.0,11
27,United Kingdom,28.0,6.0,31.0,0.0,26.0,-3.276575,54.702355,91
28,United States of America,79.0,65.0,112.0,3.0,104.0,-100.445882,39.78373,363
